Model,Features,Accuracy,Macro-F1,MCC
MLP,ESM-2 (1280D),0.7806406685236769,0.7228657407931438,0.7418624297625807
1D-CNN,Raw Sequence (Integer Enc),0.3521355617455896,0.25232767822887137,0.26785698425414173
BiLSTM + Attention,Raw Sequence (Integer Enc),0.6246518105849582,0.5439022244098427,0.5602977411572705
